<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
AACC,20120320,4.74,4.74,4.58,4.69,31400
AAME,20120320,2.85,2.85,2.69,2.81,5000
AAON,20120320,20.64,20.64,19.84,20.11,39100
AAPL,20120320,599.44,606.9,582,605.96,29166700
AAWW,20120320,48.38,49.37,47.6,48.36,315700
AAXJ,20120320,56.7,56.79,56.43,56.7,351300
ABAX,20120320,28.14,28.45,28.1,28.26,52300
ABCB,20120320,13.02,13.35,12.89,13.15,56500
ABCD,20120320,2.84,2.84,2.74,2.8,11200
ABCO,20120320,42.69,42.88,42.275,42.305,64300
ABFS,20120320,19.02,19.39,18.72,19.19,344400
ABIO,20120320,5.7,5.88,5.58,5.82,132000
ABMD,20120320,22.19,22.56,22,22.3,235000
ABTL,20120320,4.85,5,4.7,4.9,147700
ACAD,20120320,1.86,2.22,1.86,2.07,2840100
ACAS,20120320,9.14,9.19,9.05,9.15,1709800
ACAT,20120320,39.63,40.34,38.83,40.01,148000
ACCL,20120320,7.92,8.03,7.78,7.91,79100
ACET,20120320,9.55,9.55,9.38,9.47,142900
ACFC,20120320,2.5,2.5,2.4,2.4,500
ACFN,20120320,8.9,8.94,8.78,8.78,58100
ACGL,20120320,36.72,37.09,36.72,37.05,365600
ACHC,20120320,15.75,16.05,15.41,15.74,75900
ACHN,20120320,10.49,10.53,9.84,9.94,866400
ACIW,20120320,39.91,40.09,39.44,39.7,232000
ACLS,20120320,1.77,1.79,1.72,1.76,774200
ACNB,20120320,14.46,14.52,14.45,14.5,2200
ACOR,20120320,27.22,27.22,26.46,26.76,228800
ACPW,20120320,4.35,4.35,4.2,4.25,212400
ACRX,20120320,3.45,3.65,3.38,3.5,27300
ACTG,20120320,39.77,39.96,39.38,39.55,278900
ACTS,20120320,1.73,1.73,1.7,1.72,34200
ACUR,20120320,3.97,4.2,3.9,4.14,442200
ACWI,20120320,47.19,47.36,47,47.33,394600
ACWX,20120320,41.06,41.14,40.85,41.11,118600
ACXM,20120320,14.71,14.78,14.59,14.69,200300
ADAT,20120320,1.46,1.46,1.38,1.46,31000
ADBE,20120320,33.33,33.94,32.88,33.16,16394900
ADEP,20120320,4.02,4.19,4,4.15,5100
ADES,20120320,25.15,25.35,24.5,24.68,89900
ADI,20120320,39.96,40.07,39.6,40.05,2938400
ADP,20120320,55.1,55.29,54.88,55.08,1798900
ADRA,20120320,26.25,26.25,26.25,26.25,0
ADRD,20120320,20.61,20.72,20.6,20.71,105100
ADRE,20120320,42.24,42.5,42.16,42.48,91400
ADRU,20120320,20.72,20.92,20.19,20.19,14300
ADSK,20120320,40.85,41.24,40.51,41.1,2830900
ADTN,20120320,31.26,31.39,30.86,30.97,1393200
ADUS,20120320,4.75,4.75,4.62,4.62,14600
ADVS,20120320,25.49,25.55,25.17,25.19,169400
AEGN,20120320,18.31,18.48,17.96,18.08,173700
AEGR,20120320,14.89,15,14.57,14.66,20100
AEHR,20120320,0.75,0.75,0.71,0.75,7100
AEIS,20120320,13.05,13.22,12.98,13.08,237200
AEPI,20120320,32.83,33.6,32.83,33.06,12300
AERL,20120320,6.15,6.2,5.95,6.19,113300
AETI,20120320,5.07,5.11,4.84,5.11,9800
AEY,20120320,2.35,2.55,2.34,2.51,41000
AEZS,20120320,11.4,11.46,11.1,11.28,813100
AFAM,20120320,25.53,25.54,24.87,24.9,121400
AFCB,20120320,14.6,14.6,14.6,14.6,0
AFCE,20120320,16.85,16.96,16.65,16.7,29100
AFFX,20120320,4.43,4.53,4.38,4.5,434800
AFFY,20120320,11.9,12.9,11.77,12.77,1934300
AFOP,20120320,9.59,9.61,9.32,9.54,8700
AFSI,20120320,26.25,26.66,26.2,26.43,199300
AGEN,20120320,6.25,6.28,5.6,5.92,1022500
AGII,20120320,29.6,29.88,29.56,29.67,43600
AGNC,20120320,29.2,29.42,29.17,29.38,4680500
AGYS,20120320,9.23,9.35,9.07,9.21,40500
AHGP,20120320,48.68,48.81,48.25,48.61,81300
AHPI,20120320,3.28,3.47,3.28,3.45,500
AIMC,20120320,19.94,19.94,19.36,19.37,78000
AINV,20120320,7.01,7.07,6.99,7.01,1125600
AIRM,20120320,29.8867,30.01,29.5133,29.6333,68600
AIRT,20120320,9.55,9.55,9.39,9.48,6300
AIXG,20120320,17.93,18.09,17.76,17.81,271700
AKAM,20120320,36.75,36.79,36.18,36.75,1717300
AKRX,20120320,12.22,12.29,12.06,12.13,666900
ALCO,20120320,24.36,24.5,23.45,23.45,12200
ALGN,20120320,26.49,26.6,26.26,26.4,351500
ALGT,20120320,50.75,51.69,50.75,51.34,99800
ALIM,20120320,3.76,3.76,3.52,3.53,63800
ALKS,20120320,16.69,16.72,16.09,16.14,1954600
