symbol,companyName,sector,industry,exchangeMarket
PIH,"1347 Property Insurance Holdings, Inc.",Finance,Property-Casualty Insurers,NASDAQ
FLWS,"1-800 FLOWERS.COM, Inc.",Consumer Services,Other Specialty Stores,NASDAQ
FCCY,1st Constitution Bancorp (NJ),Finance,Savings Institutions,NASDAQ
SRCE,1st Source Corporation,Finance,Major Banks,NASDAQ
VNET,"21Vianet Group, Inc.",Technology,"Computer Software: Programming, Data Processing",NASDAQ
TWOU,"2U, Inc.",Technology,Computer Software: Prepackaged Software,NASDAQ
JOBS,"51job, Inc.",Technology,Diversified Commercial Services,NASDAQ
CAFD,8point3 Energy Partners LP,Public Utilities,Electric Utilities: Central,NASDAQ
EGHT,8x8 Inc,Public Utilities,Telecommunications Equipment,NASDAQ
AVHI,"A V Homes, Inc.",Capital Goods,Homebuilding,NASDAQ
SHLM,"A. Schulman, Inc.",Basic Industries,Major Chemicals,NASDAQ
AAON,"AAON, Inc.",Capital Goods,Industrial Machinery/Components,NASDAQ
ABAX,"ABAXIS, Inc.",Capital Goods,Industrial Machinery/Components,NASDAQ
ABEO,Abeona Therapeutics Inc.,Health Care,Major Pharmaceuticals,NASDAQ
ABEOW,Abeona Therapeutics Inc.,Health Care,Major Pharmaceuticals,NASDAQ
ABIL,Ability Inc.,Finance,Business Services,NASDAQ
ABMD,"ABIOMED, Inc.",Health Care,Medical/Dental Instruments,NASDAQ
AXAS,Abraxas Petroleum Corporation,Energy,Oil & Gas Production,NASDAQ
ACIA,"Acacia Communications, Inc.",Technology,Semiconductors,NASDAQ
ACTG,Acacia Research Corporation,Miscellaneous,Multi-Sector Companies,NASDAQ
ACHC,"Acadia Healthcare Company, Inc.",Health Care,Medical Specialities,NASDAQ
ACAD,ACADIA Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals,NASDAQ
ACST,"Acasti Pharma, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
AXDX,"Accelerate Diagnostics, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
XLRN,Acceleron Pharma Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
ANCX,Access National Corporation,Finance,Savings Institutions,NASDAQ
ARAY,Accuray Incorporated,Health Care,Medical/Dental Instruments,NASDAQ
OILD,AccuShares S&P GSCI Crude Oil Excess Return Down Shares,null,null,NASDAQ
OILU,AccuShares S&P GSCI Crude Oil Excess Return Up Shares,null,null,NASDAQ
VXDN,AccuShares Spot CBOE VIX Down Shares,null,null,NASDAQ
VXUP,AccuShares Spot CBOE VIX Up Shares,null,null,NASDAQ
ACRX,"AcelRx Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
ACET,Aceto Corporation,Health Care,Other Pharmaceuticals,NASDAQ
AKAO,"Achaogen, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
ACHN,"Achillion Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
ACIW,"ACI Worldwide, Inc.",Technology,Computer Software: Prepackaged Software,NASDAQ
ACRS,"Aclaris Therapeutics, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
ACNB,ACNB Corporation,Finance,Major Banks,NASDAQ
ACOR,"Acorda Therapeutics, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
ACTS,"Actions Semiconductor Co., Ltd.",Technology,Semiconductors,NASDAQ
ACPW,"Active Power, Inc.",Public Utilities,Electric Utilities: Central,NASDAQ
ATVI,"Activision Blizzard, Inc",Technology,Computer Software: Prepackaged Software,NASDAQ
ACTA,Actua Corporation,Technology,EDP Services,NASDAQ
ACUR,"Acura Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
ACXM,Acxiom Corporation,Technology,EDP Services,NASDAQ
ADMS,"Adamas Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
ADMP,Adamis Pharmaceuticals Corporation,Health Care,Major Pharmaceuticals,NASDAQ
ADAP,Adaptimmune Therapeutics plc,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
ADUS,Addus HomeCare Corporation,Health Care,Medical/Nursing Services,NASDAQ
AEY,"ADDvantage Technologies Group, Inc.",Consumer Services,Office Equipment/Supplies/Services,NASDAQ
IOTS,Adesto Technologies Corporation,Technology,Semiconductors,NASDAQ
ADMA,ADMA Biologics Inc,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
ADBE,Adobe Systems Incorporated,Technology,Computer Software: Prepackaged Software,NASDAQ
ADTN,"ADTRAN, Inc.",Public Utilities,Telecommunications Equipment,NASDAQ
ADRO,"Aduro Biotech, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
AAAP,Advanced Accelerator Applications S.A.,Health Care,Major Pharmaceuticals,NASDAQ
ADES,"Advanced Emissions Solutions, Inc.",Basic Industries,Major Chemicals,NASDAQ
AEIS,"Advanced Energy Industries, Inc.",Capital Goods,Industrial Machinery/Components,NASDAQ
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,NASDAQ
ADXS,"Advaxis, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
ADXSW,"Advaxis, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
ADVM,"Adverum Biotechnologies, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
MAUI,AdvisorShares Market Adaptive Unconstrained Income ETF,null,null,NASDAQ
YPRO,AdvisorShares YieldPro ETF,null,null,NASDAQ
AEGR,"Aegerion Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
AEGN,Aegion Corp,Basic Industries,Water Supply,NASDAQ
AGLE,"Aeglea BioTherapeutics, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
AEHR,Aehr Test Systems,Capital Goods,Electrical Products,NASDAQ
AMTX,"Aemetis, Inc",Basic Industries,Major Chemicals,NASDAQ
AEPI,AEP Industries Inc.,Capital Goods,Specialty Chemicals,NASDAQ
AERI,"Aerie Pharmaceuticals, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
AVAV,"AeroVironment, Inc.",Capital Goods,Aerospace,NASDAQ
AEZS,AEterna Zentaris Inc.,Health Care,Major Pharmaceuticals,NASDAQ
AEMD,"Aethlon Medical, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments,NASDAQ
AFMD,Affimed N.V.,Health Care,Major Pharmaceuticals,NASDAQ
AGEN,Agenus Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
AGRX,"Agile Therapeutics, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
AGYS,"Agilysys, Inc.",Technology,EDP Services,NASDAQ
AGIO,"Agios Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
AGFS,"AgroFresh Solutions, Inc.",Finance,Business Services,NASDAQ
AGFSW,"AgroFresh Solutions, Inc.",Finance,Business Services,NASDAQ
AIMT,"Aimmune Therapeutics, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
AIRM,Air Methods Corporation,Transportation,Transportation Services,NASDAQ
AIRT,"Air T, Inc.",Transportation,Air Freight/Delivery Services,NASDAQ
ATSG,"Air Transport Services Group, Inc",Transportation,Air Freight/Delivery Services,NASDAQ
AIRG,"Airgain, Inc.",Technology,Radio And Television Broadcasting And Communications Equipment,NASDAQ
AMCN,AirMedia Group Inc,Technology,Advertising,NASDAQ
AIXG,Aixtron SE,Technology,Industrial Machinery/Components,NASDAQ
AKAM,"Akamai Technologies, Inc.",Miscellaneous,Business Services,NASDAQ
AKTX,Akari Therapeutics Plc,Health Care,Major Pharmaceuticals,NASDAQ
AKBA,"Akebia Therapeutics, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
AKER,Akers Biosciences Inc,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,NASDAQ
AKRX,"Akorn, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
ALRM,"Alarm.com Holdings, Inc.",Technology,Computer Software: Prepackaged Software,NASDAQ
ALSK,"Alaska Communications Systems Group, Inc.",Public Utilities,Telecommunications Equipment,NASDAQ
AMRI,"Albany Molecular Research, Inc.",Health Care,Biotechnology: Commercial Physical & Biological Resarch,NASDAQ
ABDC,Alcentra Capital Corp.,null,null,NASDAQ
ADHD,Alcobra Ltd.,Health Care,Major Pharmaceuticals,NASDAQ
ALDR,"Alder BioPharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
ALDX,"Aldeyra Therapeutics, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
ALXN,"Alexion Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
ALCO,"Alico, Inc.",Consumer Non-Durables,Farming/Seeds/Milling,NASDAQ
ALGN,"Align Technology, Inc.",Health Care,Industrial Specialties,NASDAQ
ALIM,"Alimera Sciences, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
ALJJ,"ALJ Regional Holdings, Inc.",Miscellaneous,Business Services,NASDAQ
ALKS,Alkermes plc,Health Care,Major Pharmaceuticals,NASDAQ
ABTX,"Allegiance Bancshares, Inc.",Finance,Major Banks,NASDAQ
ALGT,Allegiant Travel Company,Transportation,Air Freight/Delivery Services,NASDAQ
AIQ,"Alliance HealthCare Services, Inc.",Health Care,Medical Specialities,NASDAQ
AHGP,"Alliance Holdings GP, L.P.",Energy,Coal Mining,NASDAQ
ARLP,"Alliance Resource Partners, L.P.",Energy,Coal Mining,NASDAQ
AHPI,"Allied Healthcare Products, Inc.",Health Care,Industrial Specialties,NASDAQ
AMOT,"Allied Motion Technologies, Inc.",Capital Goods,Electrical Products,NASDAQ
ALQA,"Alliqua BioMedical, Inc.",Health Care,Medical/Dental Instruments,NASDAQ
ALLT,Allot Communications Ltd.,Technology,Computer Communications Equipment,NASDAQ
MDRX,"Allscripts Healthcare Solutions, Inc.",Technology,EDP Services,NASDAQ
AFAM,Almost Family Inc,Health Care,Medical/Nursing Services,NASDAQ
ALNY,"Alnylam Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
AOSL,Alpha and Omega Semiconductor Limited,Technology,Semiconductors,NASDAQ
GOOG,Alphabet Inc.,Technology,"Computer Software: Programming, Data Processing",NASDAQ
GOOGL,Alphabet Inc.,Technology,"Computer Software: Programming, Data Processing",NASDAQ
SMCP,AlphaMark Actively Managed Small Cap ETF,null,null,NASDAQ
ATEC,"Alphatec Holdings, Inc.",Health Care,Medical/Dental Instruments,NASDAQ
ASPS,Altisource Portfolio Solutions S.A.,Consumer Services,Other Consumer Services,NASDAQ
AIMC,Altra Industrial Motion Corp.,Capital Goods,Industrial Machinery/Components,NASDAQ
AMAG,"AMAG Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
AMRN,Amarin Corporation PLC,Health Care,Major Pharmaceuticals,NASDAQ
AMRK,"A-Mark Precious Metals, Inc.",Basic Industries,Other Specialty Stores,NASDAQ
AYA,Amaya Inc.,Technology,"Computer Software: Programming, Data Processing",NASDAQ
AMZN,"Amazon.com, Inc.",Consumer Services,Catalog/Specialty Distribution,NASDAQ
AMBC,"Ambac Financial Group, Inc.",Finance,Property-Casualty Insurers,NASDAQ
AMBCW,"Ambac Financial Group, Inc.",Finance,Property-Casualty Insurers,NASDAQ
AMBA,"Ambarella, Inc.",Technology,Semiconductors,NASDAQ
AMCX,AMC Networks Inc.,Consumer Services,Television Services,NASDAQ
DOX,Amdocs Limited,Technology,EDP Services,NASDAQ
AMDA,Amedica Corporation,Health Care,Medical/Dental Instruments,NASDAQ
AMED,Amedisys Inc,Health Care,Medical/Nursing Services,NASDAQ
UHAL,Amerco,Consumer Services,Rental/Leasing Companies,NASDAQ
ATAX,"America First Multifamily Investors, L.P.",Finance,Finance: Consumer Services,NASDAQ
AMOV,"America Movil, S.A.B. de C.V.",Public Utilities,Telecommunications Equipment,NASDAQ
AAL,"American Airlines Group, Inc.",Transportation,Air Freight/Delivery Services,NASDAQ
AGNC,American Capital Agency Corp.,Consumer Services,Real Estate Investment Trusts,NASDAQ
AGNCB,American Capital Agency Corp.,Consumer Services,Real Estate Investment Trusts,NASDAQ
AGNCP,American Capital Agency Corp.,Consumer Services,Real Estate Investment Trusts,NASDAQ
MTGE,American Capital Mortgage Investment Corp.,Consumer Services,Real Estate Investment Trusts,NASDAQ
MTGEP,American Capital Mortgage Investment Corp.,Consumer Services,Real Estate Investment Trusts,NASDAQ
ACSF,"American Capital Senior Floating, Ltd.",null,null,NASDAQ
ACAS,"American Capital, Ltd.",null,null,NASDAQ
AETI,"American Electric Technologies, Inc.",Energy,Industrial Machinery/Components,NASDAQ
AMIC,American Independence Corp.,Finance,Accident &Health Insurance,NASDAQ
AMNB,"American National Bankshares, Inc.",Finance,Major Banks,NASDAQ
ANAT,American National Insurance Company,Finance,Life Insurance,NASDAQ
APEI,"American Public Education, Inc.",Consumer Services,Other Consumer Services,NASDAQ
ARII,"American Railcar Industries, Inc.",Capital Goods,Railroads,NASDAQ
AMRB,American River Bankshares,Finance,Major Banks,NASDAQ
ASEI,"American Science and Engineering, Inc.",Health Care,Medical Electronics,NASDAQ
AMSWA,"American Software, Inc.",Technology,Computer Software: Prepackaged Software,NASDAQ
AMSC,American Superconductor Corporation,Consumer Durables,Metal Fabrications,NASDAQ
AMWD,American Woodmark Corporation,Basic Industries,Forest Products,NASDAQ
CRMT,"America&#39;s Car-Mart, Inc.",Consumer Durables,Automotive Aftermarket,NASDAQ
ABCB,Ameris Bancorp,Finance,Major Banks,NASDAQ
AMSF,"AMERISAFE, Inc.",Finance,Property-Casualty Insurers,NASDAQ
ASRV,AmeriServ Financial Inc.,Finance,Major Banks,NASDAQ
ASRVP,AmeriServ Financial Inc.,Finance,Major Banks,NASDAQ
ATLO,Ames National Corporation,Finance,Major Banks,NASDAQ
AMGN,Amgen Inc.,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
FOLD,"Amicus Therapeutics, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
AMKR,"Amkor Technology, Inc.",Technology,Semiconductors,NASDAQ
AMPH,"Amphastar Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
IBUY,Amplify Online Retail ETF,null,null,NASDAQ
AMSG,Amsurg Corp.,Health Care,Medical/Nursing Services,NASDAQ
AMSGP,Amsurg Corp.,Health Care,Medical/Nursing Services,NASDAQ
ASYS,"Amtech Systems, Inc.",Technology,Industrial Machinery/Components,NASDAQ
AFSI,"AmTrust Financial Services, Inc.",Finance,Property-Casualty Insurers,NASDAQ
AMRS,"Amyris, Inc.",Basic Industries,Major Chemicals,NASDAQ
ADI,"Analog Devices, Inc.",Technology,Semiconductors,NASDAQ
ALOG,Analogic Corporation,Capital Goods,Electrical Products,NASDAQ
AVXL,Anavex Life Sciences Corp.,Health Care,Biotechnology: Commercial Physical & Biological Resarch,NASDAQ
ANCB,Anchor Bancorp,Finance,Banks,NASDAQ
ANDA,Andina Acquisition Corp. II,Finance,Business Services,NASDAQ
ANDAR,Andina Acquisition Corp. II,Finance,Business Services,NASDAQ
ANDAU,Andina Acquisition Corp. II,Finance,Business Services,NASDAQ
ANDAW,Andina Acquisition Corp. II,Finance,Business Services,NASDAQ
ANGI,"Angie&#39;s List, Inc.",Consumer Services,Advertising,NASDAQ
ANGO,"AngioDynamics, Inc.",Health Care,Medical/Dental Instruments,NASDAQ
ANIP,"ANI Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
ANIK,Anika Therapeutics Inc.,Health Care,Medical/Dental Instruments,NASDAQ
ANSS,"ANSYS, Inc.",Technology,Computer Software: Prepackaged Software,NASDAQ
ATRS,"Antares Pharma, Inc.",Health Care,Medical/Dental Instruments,NASDAQ
ANTH,"Anthera Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
ABAC,"Aoxin Tianli Group, Inc.",Consumer Non-Durables,Farming/Seeds/Milling,NASDAQ
APIC,Apigee Corporation,Technology,Computer Software: Prepackaged Software,NASDAQ
APOG,"Apogee Enterprises, Inc.",Capital Goods,Auto Parts:O.E.M.,NASDAQ
APOL,"Apollo Education Group, Inc.",Consumer Services,Other Consumer Services,NASDAQ
AINV,Apollo Investment Corporation,null,null,NASDAQ
APPF,"AppFolio, Inc.",Technology,Computer Software: Prepackaged Software,NASDAQ
AAPL,Apple Inc.,Technology,Computer Manufacturing,NASDAQ
ARCI,"Appliance Recycling Centers of America, Inc.",Consumer Services,Home Furnishings,NASDAQ
APDN,Applied DNA Sciences Inc,Consumer Services,Other Consumer Services,NASDAQ
APDNW,Applied DNA Sciences Inc,Consumer Services,Other Consumer Services,NASDAQ
AGTC,Applied Genetic Technologies Corporation,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
AMAT,"Applied Materials, Inc.",Technology,Semiconductors,NASDAQ
AMCC,Applied Micro Circuits Corporation,Technology,Semiconductors,NASDAQ
AAOI,"Applied Optoelectronics, Inc.",Technology,Semiconductors,NASDAQ
AREX,Approach Resources Inc.,Energy,Oil & Gas Production,NASDAQ
APRI,"Apricus Biosciences, Inc",Health Care,Major Pharmaceuticals,NASDAQ
APVO,Aptevo Therapeutics Inc.,Health Care,Major Pharmaceuticals,NASDAQ
APTO,"Aptose Biosciences, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
AQMS,"Aqua Metals, Inc.",Basic Industries,Metal Fabrications,NASDAQ
AQXP,"Aquinox Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
AUMA,AR Capital Acquisition Corp.,Finance,Business Services,NASDAQ
AUMAU,AR Capital Acquisition Corp.,Finance,Business Services,NASDAQ
AUMAW,AR Capital Acquisition Corp.,Finance,Business Services,NASDAQ
ARDM,Aradigm Corporation,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,NASDAQ
ARLZ,Aralez Pharmaceuticals Inc.,Health Care,Major Pharmaceuticals,NASDAQ
PETX,"Aratana Therapeutics, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
ABUS,Arbutus Biopharma Corporation,Health Care,Major Pharmaceuticals,NASDAQ
ARCW,"ARC Group Worldwide, Inc.",Capital Goods,Metal Fabrications,NASDAQ
ABIO,"ARCA biopharma, Inc.",Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,NASDAQ
RKDA,"Arcadia Biosciences, Inc.",Basic Industries,Agricultural Chemicals,NASDAQ
ARCB,ArcBest Corporation,Transportation,Trucking Freight/Courier Services,NASDAQ
ACGL,Arch Capital Group Ltd.,Finance,Property-Casualty Insurers,NASDAQ
APLP,"Archrock Partners, L.P.",Public Utilities,Natural Gas Distribution,NASDAQ
ACAT,Arctic Cat Inc.,Capital Goods,Industrial Specialties,NASDAQ
ARDX,"Ardelyx, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
ARNA,"Arena Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
ARCC,Ares Capital Corporation,null,null,NASDAQ
AGII,"Argo Group International Holdings, Ltd.",Finance,Specialty Insurers,NASDAQ
AGIIL,"Argo Group International Holdings, Ltd.",Finance,Specialty Insurers,NASDAQ
ARGS,"Argos Therapeutics, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
ARIS,"ARI Network Services, Inc.",Technology,"Computer Software: Programming, Data Processing",NASDAQ
ARIA,"ARIAD Pharmaceuticals, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
ARKR,Ark Restaurants Corp.,Consumer Services,Restaurants,NASDAQ
ARMH,ARM Holdings plc,Technology,Semiconductors,NASDAQ
ARTX,Arotech Corporation,Miscellaneous,Industrial Machinery/Components,NASDAQ
ARWA,Arowana Inc.,Finance,Business Services,NASDAQ
ARWAR,Arowana Inc.,Finance,Business Services,NASDAQ
ARWAU,Arowana Inc.,Finance,Business Services,NASDAQ
ARWAW,Arowana Inc.,Finance,Business Services,NASDAQ
ARQL,"ArQule, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
ARRY,Array BioPharma Inc.,Health Care,Major Pharmaceuticals,NASDAQ
ARRS,ARRIS International plc,Technology,Radio And Television Broadcasting And Communications Equipment,NASDAQ
DWAT,Arrow DWA Tactical ETF,null,null,NASDAQ
AROW,Arrow Financial Corporation,Finance,Major Banks,NASDAQ
ARWR,"Arrowhead Pharmaceuticals, Inc.",Health Care,Biotechnology: Commercial Physical & Biological Resarch,NASDAQ
ARTNA,Artesian Resources Corporation,Public Utilities,Water Supply,NASDAQ
ARTW,"Art&#39;s-Way Manufacturing Co., Inc.",Capital Goods,Industrial Machinery/Components,NASDAQ
ASBB,"ASB Bancorp, Inc.",Finance,Savings Institutions,NASDAQ
ASNA,"Ascena Retail Group, Inc.",Consumer Services,Clothing/Shoe/Accessory Stores,NASDAQ
ASND,Ascendis Pharma A/S,Health Care,Major Pharmaceuticals,NASDAQ
ASCMA,"Ascent Capital Group, Inc.",Consumer Services,Other Consumer Services,NASDAQ
APWC,Asia Pacific Wire & Cable Corporation Limited,Basic Industries,Telecommunications Equipment,NASDAQ
ASML,ASML Holding N.V.,Technology,Industrial Machinery/Components,NASDAQ
AZPN,"Aspen Technology, Inc.",Technology,EDP Services,NASDAQ
ASMB,"Assembly Biosciences, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
ASFI,"Asta Funding, Inc.",Finance,Finance Companies,NASDAQ
ASTE,"Astec Industries, Inc.",Capital Goods,Constructionullg Equipment/Trucks,NASDAQ
ATRO,Astronics Corporation,Capital Goods,Military/Government/Technical,NASDAQ
ALOT,"AstroNova, Inc.",Technology,Computer peripheral equipment,NASDAQ
ASTC,Astrotech Corporation,Capital Goods,Military/Government/Technical,NASDAQ
ASUR,Asure Software Inc,Technology,EDP Services,NASDAQ
ATAI,ATA Inc.,Consumer Services,Other Consumer Services,NASDAQ
ATRA,"Atara Biotherapeutics, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
ATHN,"athenahealth, Inc.",Miscellaneous,Business Services,NASDAQ
ATHX,"Athersys, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
AAPC,Atlantic Alliance Partnership Corp.,Consumer Services,Services-Misc. Amusement & Recreation,NASDAQ
AAME,Atlantic American Corporation,Finance,Life Insurance,NASDAQ
ACBI,"Atlantic Capital Bancshares, Inc.",Finance,Major Banks,NASDAQ
ACFC,Atlantic Coast Financial Corporation,Finance,Savings Institutions,NASDAQ
ABY,Atlantica Yield plc,Public Utilities,Electric Utilities: Central,NASDAQ
ATLC,Atlanticus Holdings Corporation,Finance,Finance: Consumer Services,NASDAQ
AAWW,Atlas Air Worldwide Holdings,Transportation,Transportation Services,NASDAQ
AFH,"Atlas Financial Holdings, Inc.",Finance,Property-Casualty Insurers,NASDAQ
TEAM,Atlassian Corporation Plc,Technology,Computer Software: Prepackaged Software,NASDAQ
ATNI,"ATN International, Inc.",Public Utilities,Telecommunications Equipment,NASDAQ
ATMR,Atomera Incorporated,Technology,Semiconductors,NASDAQ
ATOS,Atossa Genetics Inc.,Health Care,Medical/Dental Instruments,NASDAQ
ATRC,"AtriCure, Inc.",Health Care,Medical/Dental Instruments,NASDAQ
ATRI,ATRION Corporation,Health Care,Medical/Dental Instruments,NASDAQ
ATTU,Attunity Ltd.,Technology,Computer Software: Prepackaged Software,NASDAQ
LIFE,"aTyr Pharma, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
AUBN,"Auburn National Bancorporation, Inc.",Finance,Major Banks,NASDAQ
BOLD,"Audentes Therapeutics, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
AUDC,AudioCodes Ltd.,Public Utilities,Telecommunications Equipment,NASDAQ
AUPH,Aurinia Pharmaceuticals Inc,Health Care,Major Pharmaceuticals,NASDAQ
EARS,Auris Medical Holding AG,Health Care,Major Pharmaceuticals,NASDAQ
ABTL,Autobytel Inc.,Technology,"Computer Software: Programming, Data Processing",NASDAQ
ADSK,"Autodesk, Inc.",Technology,Computer Software: Prepackaged Software,NASDAQ
ADP,"Automatic Data Processing, Inc.",Technology,EDP Services,NASDAQ
AVEO,"AVEO Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
AVXS,"AveXis, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
AVNW,"Aviat Networks, Inc.",Technology,Radio And Television Broadcasting And Communications Equipment,NASDAQ
AVID,"Avid Technology, Inc.",Technology,Computer Software: Prepackaged Software,NASDAQ
AVGR,"Avinger, Inc.",Health Care,Medical/Dental Instruments,NASDAQ
AVIR,"Aviragen Therapeutics, Inc.",Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ
CAR,"Avis Budget Group, Inc.",Consumer Services,Rental/Leasing Companies,NASDAQ
AWRE,"Aware, Inc.",Technology,Computer Software: Prepackaged Software,NASDAQ
ACLS,"Axcelis Technologies, Inc.",Technology,Industrial Machinery/Components,NASDAQ
AXGN,"AxoGen, Inc.",Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,NASDAQ
AXSM,"Axsome Therapeutics, Inc.",Health Care,Major Pharmaceuticals,NASDAQ
AXTI,AXT Inc,Technology,Semiconductors,NASDAQ
BCOM,B Communications Ltd.,Consumer Services,Telecommunications Equipment,NASDAQ
RILY,"B. Riley Financial, Inc.",Miscellaneous,Business Services,NASDAQ
BOSC,B.O.S. Better Online Solutions,Technology,Computer Communications Equipment,NASDAQ
BEAV,"B/E Aerospace, Inc.",Consumer Durables,Industrial Specialties,NASDAQ
BIDU,"Baidu, Inc.",Technology,"Computer Software: Programming, Data Processing",NASDAQ
BCPC,Balchem Corporation,Basic Industries,Major Chemicals,NASDAQ
BWINA,"Baldwin & Lyons, Inc.",Finance,Property-Casualty Insurers,NASDAQ
BWINB,"Baldwin & Lyons, Inc.",Finance,Property-Casualty Insurers,NASDAQ
BLDP,"Ballard Power Systems, Inc.",Energy,Industrial Machinery/Components,NASDAQ
