idticker,symbol
48,AAAP
122,AAL
237,AAME
182,AAOI
11,AAON
236,AAPC
176,AAPL
242,AAWW
170,ABAC
12,ABAX
142,ABCB
417,ABCD
2473,ABCO
81,ABDC
13,ABEO
14,ABEOW
15,ABIL
16,ABMD
91,ABTX
193,ABUS
240,ABY
21,ACAD
129,ACAS
199,ACAT
238,ACBI
28,ACET
239,ACFC
197,ACGL
20,ACHC
30,ACHN
18,ACIA
31,ACIW
262,ACLS
33,ACNB
35,ACPW
32,ACRS
27,ACRX
128,ACSF
22,ACST
37,ACTA
19,ACTG
34,ACTS
1119,ACTX
38,ACUR
1387,ACWI
1386,ACWX
39,ACXM
45,ADBE
49,ADES
82,ADHD
156,ADI
41,ADMP
40,ADMS
256,ADP
343,ADRA
344,ADRD
345,ADRE
47,ADRO
346,ADRU
255,ADSK
46,ADTN
42,ADUS
52,ADXS
53,ADXSW
56,AEGN
55,AEGR
58,AEHR
50,AEIS
60,AEPI
130,AETI
43,AEY
62,AEZS
101,AFAM
243,AFH
63,AFMD
154,AFSI
67,AGFS
68,AGFSW
203,AGII
204,AGIIL
66,AGIO
57,AGLE
123,AGNC
124,AGNCB
125,AGNCP
64,AGRX
65,AGYS
94,AHGP
96,AHPI
1379,AIA
107,AIMC
69,AIMT
174,AINV
93,AIQ
70,AIRM
71,AIRT
74,AIXG
75,AKAM
29,AKAO
77,AKBA
78,AKRX
76,AKTX
86,ALCO
83,ALDR
84,ALDX
87,ALGN
92,ALGT
88,ALIM
89,ALJJ
90,ALKS
99,ALLT
102,ALNY
157,ALOG
230,ALOT
98,ALQA
79,ALRM
80,ALSK
1126,ALTY
85,ALXN
108,AMAG
180,AMAT
114,AMBA
112,AMBC
113,AMBCW
181,AMCC
73,AMCN
115,AMCX
51,AMD
117,AMDA
118,AMED
131,AMIC
148,AMKR
132,AMNB
97,AMOT
121,AMOV
149,AMPH
136,AMRB
110,AMRK
109,AMRN
155,AMRS
139,AMSC
143,AMSF
151,AMSG
152,AMSGP
138,AMSWA
2442,AMTD
59,AMTX
140,AMWD
111,AMZN
133,ANAT
158,ANCB
23,ANCX
159,ANDA
160,ANDAR
161,ANDAU
162,ANDAW
2474,ANDE
163,ANGI
164,ANGO
166,ANIK
165,ANIP
167,ANSS
169,ANTH
2337,ANY
103,AOSL
178,APDN
179,APDNW
134,APEI
171,APIC
198,APLP
172,APOG
173,APOL
474,APOP
475,APOPW
175,APPF
757,APPS
184,APRI
185,APVO
223,APWC
186,AQMS
187,AQXP
24,ARAY
196,ARCB
202,ARCC
177,ARCI
194,ARCW
200,ARDX
183,AREX
205,ARGS
135,ARII
206,ARKR
95,ARLP
191,ARLZ
207,ARMH
201,ARNA
216,AROW
213,ARQL
214,ARRY
217,ARTNA
218,ARTW
208,ARTX
209,ARWA
210,ARWAR
211,ARWAU
212,ARWAW
219,ASBB
222,ASCMA
137,ASEI
1017,ASET
227,ASFI
226,ASMB
224,ASML
220,ASNA
221,ASND
106,ASPS
144,ASRV
145,ASRVP
231,ASTC
228,ASTE
232,ASUR
153,ASYS
233,ATAI
120,ATAX
105,ATEC
234,ATHN
235,ATHX
241,ATLC
146,ATLO
246,ATMR
245,ATNI
247,ATOS
248,ATRC
249,ATRI
229,ATRO
168,ATRS
72,ATSG
250,ATTU
36,ATVI
251,AUBN
252,AUDC
188,AUMA
189,AUMAU
190,AUMAW
253,AUPH
61,AVAV
257,AVEO
379,AVGO
259,AVGR
9,AVHI
258,AVID
261,AWRE
17,AXAS
263,AXSM
264,AXTI
225,AZPN
273,BANF
274,BANFP
283,BANR
2375,BANX
1530,BATRA
1531,BATRK
309,BBBY
330,BBC
307,BBGI
2627,BBH
337,BBOX
331,BBP
374,BBRG
340,BBRY
300,BBSI
304,BCBP
265,BCOM
348,BCOR
378,BCOV
269,BCPC
338,BDE
375,BDGE
324,BDSI
335,BEAT
268,BEAV
308,BEBE
305,BECN
311,BELFA
312,BELFB
281,BFIN
1120,BFIT
319,BGCP
320,BGFV
310,BGNE
296,BHAC
297,BHACR
298,BHACU
299,BHACW
351,BHBK
2065,BIB
958,BICK
322,BIOC
323,BIOD
325,BIOL
329,BIOS
2070,BIS
2508,BITE
336,BJRI
342,BKCC
353,BKEP
354,BKEPP
275,BKMU
278,BKSC
349,BLBD
314,BLCM
272,BLDP
391,BLDR
376,"BLIN          "
339,BLKB
347,BLMN
388,BLMT
313,BLPH
326,BLRX
371,BLVD
372,BLVDU
373,BLVDW
357,BMCH
392,BMLA
277,BMRC
327,BMRN
387,BMTC
315,BNCL
358,BNCN
2649,BNDX
316,BNFT
366,BNSO
317,BNTC
318,BNTCW
359,BOBE
276,BOCH
360,BOFI
361,BOFIL
363,BOJA
364,BOKF
365,BOKFL
2476,BONT
786,BOOM
267,BOSC
279,BOTJ
367,BPFH
368,BPFHP
369,BPFHW
355,BPMC
2020,BPOP
2021,BPOPM
2022,BPOPN
328,BPTH
384,BRCD
664,BREW
377,BRID
385,BRKL
386,BRKS
301,BSET
306,BSF
380,BSFT
334,BSPM
389,BSQR
2264,BSRR
332,BSTC
333,BSTG
2050,BTEC
350,BUFF
393,BUR
929,BUSE
303,BV
645,BVA
381,BVSN
383,BWEN
282,BWFG
270,BWINA
271,BWINB
390,BWLD
302,BYBK
382,BYFC
284,BZUN
396,CA
524,CAAS
